run,accuracy,macro_f1,classifier,n_features
pca_80,0.9877253548139624,0.9896438196957706,SVC_PCA,80
pca_60,0.9877253548139624,0.9896438196957706,SVC_PCA,60
pca_100,0.9873417721518988,0.9893557121837879,SVC_PCA,100
pca_40,0.9842731108553894,0.9833898167827476,SVC_PCA,40
baseline_all_features,0.982355197545071,0.9853228801099163,RandomForestClassifier,132
rf_top_100_importances,0.98120444955888,0.9842151370411619,RandomForestClassifier,100
rf_top_80_importances,0.9808208668968162,0.9841697976080264,RandomForestClassifier,80
rf_top_60_importances,0.9796701189106253,0.9833048444718123,RandomForestClassifier,60
mutual_info_k100,0.9792865362485615,0.9828236637703714,SVC,100
anova_k100,0.9789029535864979,0.9816321752124149,SVC,100
rf_top_40_importances,0.9766014576141159,0.9807568926054622,RandomForestClassifier,40
pca_20,0.9735327963176065,0.9723091350019397,SVC_PCA,20
anova_k80,0.9689298043728424,0.9736105593946556,SVC,80
rf_top_20_importances,0.9666283084004603,0.9730423479947522,RandomForestClassifier,20
mutual_info_k80,0.9662447257383966,0.9702011797895157,SVC,80
pca_10,0.9512850019179133,0.9498990839046527,SVC_PCA,10
anova_k60,0.934023782125048,0.9406339597640574,SVC,60
mutual_info_k60,0.9313387034906022,0.9386933477643608,SVC,60
anova_k40,0.8895281933256617,0.8951942617557137,SVC,40
mutual_info_k40,0.8776371308016878,0.8739344562478528,SVC,40
anova_k20,0.7871116225546605,0.7668113183967662,SVC,20
mutual_info_k20,0.7832757959340237,0.7709209793334338,SVC,20
