,importance
31_x,0.03612949509633708
25_x,0.03019361882611077
27_x,0.025052386148987946
26_z,0.021965590337222743
29_x,0.01907336287554647
19_v,0.01750674349161739
21_v,0.01575737495856672
17_v,0.01557474595646578
0_z,0.015247952174531995
32_y,0.014944904077969676
29_y,0.014267556579807892
23_z,0.013469853278957136
30_y,0.013412855768758433
28_y,0.013283837146105877
31_y,0.013252006860921086
6_z,0.013246598567566563
15_v,0.013141677665102635
27_y,0.012715304491913892
18_v,0.012344222132394764
25_y,0.012094515011906079
24_z,0.011482975154829222
20_v,0.010961444033523485
22_v,0.010811551741572218
4_z,0.010726820937852651
13_v,0.010654784643976966
26_y,0.010645287164550182
9_z,0.010613639317156096
5_z,0.010446730114836844
14_v,0.010433985863879888
8_v,0.010310764115923896
29_v,0.010188734558589204
16_v,0.009955208567962058
2_z,0.009891789775234626
11_v,0.00917727937990283
10_z,0.009022091142239569
28_x,0.008565121835368414
32_x,0.00853450781596686
1_z,0.008511456172153561
25_v,0.008373599771988921
12_v,0.008219133269498167
3_z,0.008178893059656373
26_v,0.008122149279807369
28_z,0.007680991955146849
28_v,0.007371205786233306
30_v,0.007313068751763975
30_x,0.00689956837445599
7_v,0.006886429016095661
18_y,0.006879514549206021
26_x,0.006726432675431865
30_z,0.006698984153732618
20_y,0.006675518001592471
9_v,0.006434777405498073
10_v,0.006345569423867403
22_y,0.00628703527919007
32_v,0.0062666366513520685
24_v,0.006204151102674805
13_z,0.006056244726691495
27_v,0.005920156883791755
16_y,0.00591018075528663
18_x,0.005866188918470989
6_v,0.005811122154613357
12_y,0.005735171182900361
17_y,0.005599948530350481
20_z,0.0055661554744137216
11_z,0.0055169956820481925
14_z,0.005507711688259071
29_z,0.005491373873809194
32_z,0.0053632323643439915
1_v,0.005316490782018439
2_v,0.005288553027898297
6_y,0.00528214447962718
27_z,0.0051963802749447575
23_y,0.005152856003891531
8_y,0.005121291183942536
16_x,0.005086494013225432
31_v,0.00507690607139651
21_z,0.005067710601073805
15_z,0.0050660527048367494
11_y,0.004948458304042941
24_y,0.004948102014125999
23_v,0.004940184352446854
4_y,0.00492580692479675
11_x,0.004908145241352822
19_y,0.00489976871257001
0_x,0.004897065376408172
10_y,0.004893635151193604
14_x,0.004882327684664007
3_y,0.004866880093311275
18_z,0.004860640140559484
19_z,0.004799981544773433
7_y,0.004788447542184939
14_y,0.00478439725964428
4_v,0.0047550852300523765
2_x,0.004747580242340181
0_v,0.004744042504943811
21_y,0.004692606113491054
3_v,0.004643623938758115
2_y,0.004627550573347248
1_y,0.004598464844031744
22_x,0.004574232976507125
12_z,0.0045711384258679605
20_x,0.004546561877730281
13_y,0.004544418647744748
3_x,0.004458710123607165
5_v,0.004445934062469425
16_z,0.004442613748368553
25_z,0.004397203141684343
5_y,0.004330034584545554
15_y,0.004240757424119243
17_z,0.004213158932640083
31_z,0.004159315782706018
9_y,0.004092056315257987
0_y,0.004073310857701944
4_x,0.004067461207750807
9_x,0.004063079679534402
22_z,0.0040118852205976024
13_x,0.003952877868055819
12_x,0.003846896748292248
24_x,0.0037876574000811195
1_x,0.0037385488840830047
7_x,0.0037241310677169474
6_x,0.0037116861373322984
10_x,0.00362034638377489
5_x,0.0034786723446465534
19_x,0.003447438448137398
21_x,0.003231561652142768
8_x,0.003171080489337248
7_z,0.003096503900383124
23_x,0.003075644639213173
15_x,0.0030242251400632784
17_x,0.0030125628349718108
8_z,0.0025237055965601244
